,count,mean,std,min,25%,50%,75%,max
NDVI_maskLC08_L1TP_232083_20180622_20180703_01_T1.tif,363.0,0.1009073406457901,0.01519038900732994,0.05196968838572502,0.09046842157840729,0.10165758430957794,0.11001232266426086,0.18236327171325684
NDVI_maskLC08_L1TP_232083_20180606_20180615_01_T1.tif,363.0,0.10691216588020325,0.016527624800801277,0.042600762099027634,0.09622928500175476,0.10741282254457474,0.11731891334056854,0.1893886923789978
NDVI_maskLC08_L1TP_232083_20180521_20180605_01_T1.tif,363.0,0.13029728829860687,0.023570246994495392,0.053768303245306015,0.11511234939098358,0.13064980506896973,0.14468464255332947,0.23648111522197723
NDVI_maskLC08_L1TP_232083_20180505_20180517_01_T1.tif,363.0,0.03142398223280907,0.001928378944285214,0.027120986953377724,0.029675494879484177,0.0314171127974987,0.03306905925273895,0.03602572903037071
NDVI_maskLC08_L1TP_232083_20180419_20180502_01_T1.tif,363.0,0.1886334866285324,0.03369130566716194,0.10239539295434952,0.16769391298294067,0.18693366646766663,0.20957890152931213,0.31386786699295044
NDVI_maskLC08_L1TP_232083_20180403_20180417_01_T1.tif,363.0,0.19155991077423096,0.03291412070393562,0.08040077239274979,0.1695355623960495,0.1890745908021927,0.20990490913391113,0.3172151744365692
NDVI_maskLC08_L1TP_232083_20180318_20180403_01_T1.tif,363.0,0.16837067902088165,0.06615566462278366,0.04505881294608116,0.11611668020486832,0.17421148717403412,0.2182682752609253,0.3451942503452301
NDVI_maskLC08_L1TP_232083_20180302_20180319_01_T1.tif,363.0,0.2115381807088852,0.038546282798051834,0.10473988205194473,0.18599972128868103,0.20698842406272888,0.23019124567508698,0.3541141748428345
NDVI_maskLC08_L1TP_232083_20180214_20180222_01_T1.tif,363.0,0.2363133728504181,0.04786192253232002,0.11039154976606369,0.19841021299362183,0.23447470366954803,0.2708272933959961,0.3778780698776245
NDVI_maskLC08_L1TP_232083_20180129_20180207_01_T1.tif,363.0,0.2327796220779419,0.03757856413722038,0.09359404444694519,0.20791316032409668,0.2342037558555603,0.2583017349243164,0.34869128465652466
NDVI_maskLC08_L1TP_232083_20180113_20180119_01_T1.tif,363.0,0.10558682680130005,0.009993242099881172,0.07584845274686813,0.10013435035943985,0.10646042227745056,0.11251679062843323,0.12707673013210297
NDVI_maskLC08_L1TP_232083_20171228_20180103_01_T1.tif,363.0,0.21526597440242767,0.034957658499479294,0.10657759010791779,0.19302281737327576,0.20921020209789276,0.2375403344631195,0.3413519859313965
NDVI_maskLC08_L1TP_232083_20171212_20171223_01_T1.tif,363.0,0.22202102839946747,0.033164963126182556,0.11382921785116196,0.19860303401947021,0.21867163479328156,0.24453239142894745,0.33296695351600647
NDVI_maskLC08_L1TP_232083_20171126_20171206_01_T1.tif,363.0,0.22300459444522858,0.044326502829790115,0.12698350846767426,0.19045951962471008,0.21553334593772888,0.24563832581043243,0.38419580459594727
NDVI_maskLC08_L1TP_232083_20171110_20171121_01_T1.tif,363.0,0.19391244649887085,0.028996068984270096,0.12690284848213196,0.17546960711479187,0.19031699001789093,0.2096615731716156,0.30017587542533875
NDVI_maskLC08_L1TP_232083_20171025_20171107_01_T1.tif,363.0,0.15010015666484833,0.02484222501516342,0.10634056478738785,0.13102048635482788,0.14910326898097992,0.1646031141281128,0.2700299024581909
NDVI_maskLC08_L1TP_232083_20171009_20171024_01_T1.tif,363.0,0.1469801515340805,0.03343422710895538,0.08235600590705872,0.12297853827476501,0.14704158902168274,0.16504716873168945,0.3295605480670929
NDVI_maskLC08_L1TP_232083_20170923_20171013_01_T1.tif,363.0,0.15760605037212372,0.03185896575450897,0.08644986152648926,0.13390032947063446,0.15613950788974762,0.17946486175060272,0.29761308431625366
NDVI_maskLC08_L1TP_232083_20170907_20170926_01_T1.tif,363.0,0.20376357436180115,0.05764389410614967,0.08316130936145782,0.16722053289413452,0.20919020473957062,0.24394851922988892,0.3372301757335663
NDVI_maskLC08_L1TP_232083_20170822_20170911_01_T1.tif,363.0,0.19561834633350372,0.042542390525341034,0.0908639058470726,0.16513365507125854,0.20944836735725403,0.22880327701568604,0.27106773853302
NDVI_maskLC08_L1TP_232083_20170806_20170813_01_T1.tif,363.0,0.19690856337547302,0.051110826432704926,0.0666210725903511,0.16042739152908325,0.2081739604473114,0.23393514752388,0.29889044165611267
NDVI_maskLC08_L1TP_232083_20170721_20170728_01_T1.tif,363.0,0.15522974729537964,0.04061919450759888,0.06358081102371216,0.12347984313964844,0.1613774448633194,0.18552453815937042,0.24703308939933777
NDVI_maskLC08_L1TP_232083_20170619_20170629_01_T1.tif,363.0,0.12161142379045486,0.026481015607714653,0.07159239053726196,0.10260123014450073,0.11998540908098221,0.1363048553466797,0.2386724054813385
